year,team,conference,poll_week,rank,rank_numeric,table_id
2010,LSU,SEC,3/8,22.0,22,1
2010,UCLA,Pac-10,3/8,23.0,23,1
2010,Georgia,SEC,3/8,24.0,24,1
2010,Michigan State,Big Ten,3/8,25.0,25,1
2010,Hartford,AmEast,3/8,21.0,21,1
2010,UConn,Big East,11/17,1.0,1,1
2010,Stanford,Pac-10,11/17,2.0,2,1
2010,Tennessee,SEC,11/17,6.0,6,1
2010,Xavier,A-10,11/17,9.0,9,1
2010,Duke,ACC,11/17,11.0,11,1
2010,Notre Dame,Big East,11/17,5.0,5,1
2010,Ohio State,Big Ten,11/17,3.0,3,1
2010,Texas A&M,Big 12,11/17,15.0,15,1
2010,Florida State,ACC,11/17,13.0,13,1
2010,Oklahoma,Big 12,11/17,20.0,20,1
2010,Baylor,Big 12,11/17,8.0,8,1
2010,Texas,Big 12,11/17,10.0,10,1
2010,LSU,SEC,11/17,7.0,7,1
2010,Georgia,SEC,11/17,16.0,16,1
2010,Michigan State,Big Ten,11/17,21.0,21,1
2010,Virginia,ACC,11/17,12.0,12,1
2010,Vanderbilt,SEC,11/17,22.0,22,1
2010,UNC,ACC,11/17,4.0,4,1
2010,Kansas,Big 12,11/17,19.0,19,1
2010,Arizona State,Pac-10,11/17,14.0,14,1
2010,California,Pac-10,11/17,17.0,17,1
2010,DePaul,Big East,11/17,17.0,17,1
2010,Mississippi State,SEC,11/17,25.0,25,1
2010,Louisville,Big East,11/17,23.0,23,1
2010,Middle Tennessee,Sun Belt,11/17,24.0,24,1
2011,UConn,Big East,Pre,1.0,1,1
2011,Stanford,Pac-10,Pre,3.0,3,1
2011,Baylor,Big 12,Pre,2.0,2,1
2011,Tennessee,SEC,Pre,4.0,4,1
2011,Xavier,A-10,Pre,5.0,5,1
2011,Duke,ACC,Pre,6.0,6,1
2011,Texas A&M,Big 12,Pre,8.0,8,1
2011,UCLA,Pac-10,Pre,16.0,16,1
2011,Notre Dame,Big East,Pre,12.0,12,1
2011,Michigan State,Big Ten,Pre,25.0,25,1
2011,UNC,ACC,Pre,15.0,15,1
2011,Florida State,ACC,Pre,18.0,18,1
2011,Maryland,ACC,Pre,21.0,21,1
2011,Kentucky,SEC,Pre,9.0,9,1
2011,Ohio State,Big Ten,Pre,7.0,7,1
2011,Oklahoma,Big 12,Pre,10.0,10,1
2011,Georgetown,Big East,Pre,13.0,13,1
2011,Iowa,Big Ten,Pre,22.0,22,1
2011,Iowa State,Big 12,Pre,20.0,20,1
2011,West Virginia,Big East,Pre,11.0,11,1
2011,Georgia,SEC,Pre,19.0,19,1
2011,St. John's (NY),Big East,Pre,14.0,14,1
2011,Texas,Big 12,Pre,17.0,17,1
2011,Vanderbilt,SEC,Pre,24.0,24,1
2011,TCU,MWC,Pre,23.0,23,1
2011,UConn,Big East,12/13,1.0,1,1
2011,Stanford,Pac-10,12/13,3.0,3,1
2011,Baylor,Big 12,12/13,2.0,2,1
2011,Tennessee,SEC,12/13,6.0,6,1
2011,Xavier,A-10,12/13,5.0,5,1
2011,Duke,ACC,12/13,4.0,4,1
2011,Texas A&M,Big 12,12/13,8.0,8,1
2011,UCLA,Pac-10,12/13,9.0,9,1
2011,Notre Dame,Big East,12/13,17.0,17,1
2011,DePaul,Big East,12/13,22.0,22,1
2011,Michigan State,Big Ten,12/13,14.0,14,1
2011,UNC,ACC,12/13,10.0,10,1
2011,Florida State,ACC,12/13,15.0,15,1
2011,Maryland,ACC,12/13,19.0,19,1
2011,Kentucky,SEC,12/13,13.0,13,1
2011,Ohio State,Big Ten,12/13,11.0,11,1
2011,Oklahoma,Big 12,12/13,12.0,12,1
2011,Georgetown,Big East,12/13,20.0,20,1
2011,Iowa,Big Ten,12/13,16.0,16,1
2011,Iowa State,Big 12,12/13,21.0,21,1
2011,West Virginia,Big East,12/13,7.0,7,1
2011,Syracuse,Big East,12/13,24.0,24,1
2011,St. John's (NY),Big East,12/13,18.0,18,1
2011,Texas,Big 12,12/13,23.0,23,1
2011,Boston College,ACC,12/13,25.0,25,1
2011,UConn,Big East,2/28,1.0,1,1
2011,Stanford,Pac-10,2/28,2.0,2,1
2011,Baylor,Big 12,2/28,3.0,3,1
2011,Tennessee,SEC,2/28,4.0,4,1
2011,Xavier,A-10,2/28,6.0,6,1
2011,Duke,ACC,2/28,8.0,8,1
2011,Texas A&M,Big 12,2/28,5.0,5,1
2011,UCLA,Pac-10,2/28,9.0,9,1
2011,Notre Dame,Big East,2/28,7.0,7,1
2011,DePaul,Big East,2/28,12.0,12,1
2011,Miami (FL),ACC,2/28,10.0,10,1
2011,Michigan State,Big Ten,2/28,11.0,11,1
2011,Green Bay,Horizon,2/28,15.0,15,1
2011,UNC,ACC,2/28,19.0,19,1
2011,Florida State,ACC,2/28,14.0,14,1
2011,Maryland,ACC,2/28,13.0,13,1
2011,Kentucky,SEC,2/28,16.0,16,1
2011,Marist,MAAC,2/28,21.0,21,1
2011,Gonzaga,WCC,2/28,22.0,22,1
2011,Oklahoma,Big 12,2/28,18.0,18,1
2011,Georgetown,Big East,2/28,17.0,17,1
2011,Marquette,Big East,2/28,20.0,20,1
2011,Iowa,Big Ten,2/28,24.0,24,1
2011,Houston,CUSA,2/28,25.0,25,1
2011,Iowa State,Big 12,2/28,23.0,23,1
2011,UConn,Big East,Final,1.0,1,1
2011,Stanford,Pac-10,Final,2.0,2,1
