School,Conf,Pre,11/11,11/18,11/25,12/2,12/9,12/16,12/23,12/30,1/6,1/13,1/20,1/27,2/3,2/10,2/17,2/24,3/3,3/10,3/17,Post,year,table_number,11/13,11/20,11/27,12/4,12/11,12/18,12/25,1/1,1/8,1/15,1/22,1/29,2/5,2/12,2/19,2/26,3/4,3/11,3/18,11/14,11/21,11/28,12/5,12/13,12/19,12/26,1/2,1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/28,Final,11/15,11/23,11/29,12/6,12/20,12/27,1/3,1/10,1/17,1/24,1/31,2/7,2/14,2/21,3/7,11/30,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,3/1,3/8,3/2,11/12,11/19,11/26,12/3,12/10,12/17,12/24,12/31,1/7,1/14,1/21,1/28,2/4,2/11,2/18,2/25,3/5,12/12,2/27,3/6,11/16,2/29,11/17,11/24,12/1,12/8,12/15,12/22,12/29,1/5,1/12,1/19,1/26,2/2,2/9,2/16,2/23,3/9,11/22
Georgia,SEC,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,22,19,16,15,14,19,20,18,22,21,22,24,,,,
Texas,Big 12,9,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,4,3,3,3,3,3,5,8,14,20,,,,,
Oklahoma,Big 12,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,
Minnesota,Big Ten,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,21,,,,,,,
Western Kentucky,CUSA,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,24,,,,,,,
Oklahoma State,Big 12,21,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20,20,20,19,18,18,16,21,,,,,,,,
Michigan State,Big Ten,14,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,16,19,18,20,24,,,,,,,,,,
DePaul,Big East,18,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,25,25,25,,25,,,,,,,,,,
West Virginia,Big 12,17,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,22,24,23,22,21,,,,,,,,,,,
Green Bay,Horizon,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,
Arkansas,SEC,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,
Purdue,Big Ten,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,
Gonzaga,WCC,,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,
Dayton,A-10,22,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA,Pac-12,23,,,,,,,,,,,,,,,,,,,,,2015,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UConn,AAC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,ACC,6,6,5,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,SEC,4,4,3,3,3,3,3,5,5,8,12,11,10,8,8,10,10,6,4,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,AAC,5,5,4,4,7,7,7,7,7,5,5,5,5,4,4,3,3,3,3,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,Big 12,10,9,9,9,9,9,9,9,9,7,7,12,9,7,7,6,6,9,7,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford,Pac-12,3,3,6,6,6,6,6,4,4,4,4,4,4,3,6,5,5,4,6,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Big 12,,,,,,,,,,,,18,20,17,13,13,11,7,5,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SEC,22,21,19,17,12,10,10,13,13,10,8,10,7,6,5,4,4,5,8,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,ACC,2,2,2,2,2,2,2,3,3,3,3,3,3,5,3,7,7,10,9,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,SEC,7,7,7,7,5,5,5,6,6,9,10,9,13,15,18,15,12,12,10,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,ACC,8,8,8,8,8,8,8,8,8,6,6,6,8,10,9,8,9,8,11,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNC,ACC,12,12,12,11,18,15,14,10,10,13,9,7,6,13,17,11,14,13,12,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,Big Ten,17,15,11,10,15,19,19,18,18,16,18,21,,22,21,17,16,16,13,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn State,Big Ten,13,13,14,13,10,12,17,15,15,14,16,13,12,9,11,9,8,11,14,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,SEC,16,16,13,12,23,24,,,,,25,17,17,19,14,16,17,15,15,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC State,ACC,,,,,,,,,,20,20,23,18,14,10,14,13,14,16,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue,Big Ten,18,18,18,16,16,18,18,17,17,21,22,22,19,25,23,21,19,17,17,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,WCC,25,25,24,24,24,23,25,24,,,,25,22,20,20,24,22,21,18,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Big Ten,,,,,25,21,22,21,22,,,,,,,,25,23,19,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan State,Big Ten,20,19,21,21,,,,,,,,,,24,25,23,21,19,20,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma State,Big 12,21,20,20,19,14,14,13,11,11,15,11,8,11,12,12,12,15,18,21,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Tennessee,CUSA,,,,,,,,,,,,,25,21,,,23,22,22,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DePaul,Big East,,,25,25,,,,,,,,,,,,,,25,23,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,Pac-12,9,10,17,20,21,22,21,23,23,19,15,19,21,23,22,18,18,20,24,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC,Pac-12,,,,,,,,,,,,,,,,,,,,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowling Green,MAC,,,,,,,,,,,,,,,,,,,25,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutgers,AAC,,,,,,,,,,,23,,,,,25,24,24,,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona State,Pac-12,,,,,,,,,24,23,19,14,15,11,15,20,20,,,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSU,SEC,15,14,15,15,13,13,12,16,16,12,14,15,14,16,19,19,,,,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's (NY),Big East,,,,,,,,,,,,,,,24,22,,,,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanderbilt,SEC,,,,,,,,,,,24,16,16,18,16,,,,,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Big 12,23,22,22,23,20,17,15,14,14,11,13,20,23,,,,,,,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida State,ACC,,,,,,,24,22,21,18,17,24,23,,,,,,,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Pac-12,19,17,16,14,11,11,11,12,12,17,21,,,,,,,,,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,Big Ten,,,,,,,,,,22,,,,,,,,,,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,WCC,,,,,,,,,,24,,,,,,,,,,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,SEC,24,24,23,22,19,16,16,19,19,25,,,,,,,,,,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse,ACC,,,,,22,25,23,20,20,,,,,,,,,,,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Big 12,11,11,10,18,17,20,20,25,25,,,,,,,,,,,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,A-10,14,23,,,,,,,,,,,,,,,,,,,,2014,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baylor,Big 12,1,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,Big East,7,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,
UConn,Big East,2,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,
Stanford,Pac-12,4,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,1,1,1,1,4,5,6,6,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,
Duke,ACC,3,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,3,4,4,4,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,
California,Pac-12,13,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,10,11,9,8,8,7,7,7,7,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,SEC,6,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,9,7,7,7,7,6,6,5,5,8,10,9,8,10,,,,,,,,,,,,,,,,,,,,,,,
Penn State,Big Ten,8,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,6,10,11,11,10,9,8,8,8,7,8,8,7,7,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,SEC,15,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,19,9,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,23,22,24,24,20,20,16,16,14,11,10,13,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,SEC,20,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,9,10,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,20,16,14,13,10,13,12,9,9,9,9,12,12,11,8,,,,,,,,,,,,,,,,,,,,,,,
UCLA,Pac-12,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,14,11,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,17,14,12,17,16,14,14,19,18,17,15,17,17,,,,,,,,,,,,,,,,,,,,,,,
Maryland,ACC,5,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,10,12,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,11,9,10,9,9,8,10,10,10,10,7,7,8,9,,,,,,,,,,,,,,,,,,,,,,,
UNC,ACC,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,15,13,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,22,21,19,17,16,15,11,11,11,11,16,14,16,15,,,,,,,,,,,,,,,,,,,,,,,
Georgia,SEC,10,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,12,14,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,8,6,6,6,6,10,13,13,14,13,9,13,13,11,,,,,,,,,,,,,,,,,,,,,,,
Delaware,CAA,11,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,16,15,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,25,20,20,18,18,,,,,,,,,,,,,,,,,,,,,,,
Louisville,Big East,9,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,13,16,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,7,8,8,14,12,11,15,15,13,12,11,10,12,16,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SEC,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,17,17,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,21,19,18,18,19,18,15,15,16,15,14,,,,,,,,,,,,,,,,,,,,,,,
Dayton,A-10,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,11,18,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,23,19,17,16,15,22,22,18,17,17,18,17,14,12,,,,,,,,,,,,,,,,,,,,,,,
Colorado,Pac-12,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,18,19,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,20,23,21,20,22,21,21,20,19,,,,,,,,,,,,,,,,,,,,,,,
Green Bay,Horizon,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,20,20,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,21,,,,,,,,,,,,,,,,,,,,,,,
Purdue,Big Ten,21,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14,14,15,15,13,11,14,12,12,15,14,13,18,22,25,,,,,,,,,,,,,,,,,,,,,,,
Syracuse,Big East,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,24,22,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,23,21,22,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,Big 12,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,22,,,,,25,24,24,23,25,24,,23,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,Big Ten,18,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,21,24,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,23,21,25,,,,25,,,,,,,24,20,,,,,,,,,,,,,,,,,,,,,,,
Florida State,ACC,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,23,25,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,23,21,19,18,22,22,20,19,19,19,24,,,,,,,,,,,,,,,,,,,,,,,
LSU,SEC,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toledo,MAC,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma State,Big 12,23,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,21,18,16,16,15,14,13,21,17,12,19,22,25,23,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Big 12,12,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,13,12,13,12,18,18,17,16,16,20,21,23,22,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Big Ten,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Big Ten,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan State,Big Ten,,,,,,,,,,,,,,,,,,,,,,2013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
