team,season,conference,portal_in_count,portal_out_count,top_recruit_rank,avg_espn_grade,n_top10_recruits,n_top25_recruits,n_top50_recruits,n_recruits,recruit_star_index,n_guards,n_wings_forwards,n_bigs,avg_height_inches,ap_rank_preseason,ap_rank_peak,ap_rank_final,weeks_in_top25,peak_streak,wins,losses,win_pct,net_rating
Kentucky,2023,,,,69.0,92.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,73.0,,,,,,12.0,19.0,0.387,
LSU,2023,SEC,,,26.0,94.5,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,72.0,16.0,3.0,9.0,18.0,18.0,34.0,2.0,0.944,
Louisville,2023,ACC,,,35.0,94.0,0.0,0.0,2.0,4.0,2.0,1.0,2.0,1.0,73.2,7.0,6.0,,4.0,4.0,26.0,12.0,0.684,
Marquette,2023,Big East,,,77.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,24.0,,1.0,1.0,21.0,11.0,0.656,
Maryland,2023,Big Ten,,,42.0,94.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,70.7,17.0,5.0,6.0,18.0,18.0,28.0,7.0,0.8,
Miami (FL),2023,,,,25.0,95.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,76.0,,,,,,22.0,13.0,0.629,
Michigan,2023,Big Ten,,,48.0,92.5,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,72.5,25.0,12.0,18.0,18.0,18.0,23.0,10.0,0.697,
Michigan State,2023,,,,80.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,69.0,,,,,,16.0,14.0,0.533,
Middle Tennessee,2023,CUSA,,,,,,,,,,,,,,,21.0,25.0,5.0,5.0,28.0,5.0,0.848,
Minnesota,2023,,,,28.0,94.67,0.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,71.7,,,,,,11.0,19.0,0.367,
Mississippi State,2023,,,,84.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,,,,,22.0,11.0,0.667,
Missouri,2023,,,,74.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,18.0,14.0,0.562,
Montana,2023,,,,100.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,69.0,,,,,,14.0,16.0,0.467,
NC State,2023,ACC,,,,,,,,,,,,,,10.0,6.0,,14.0,14.0,20.0,12.0,0.625,
Nebraska,2023,Big Ten,,,32.0,95.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,78.0,22.0,22.0,,2.0,2.0,18.0,15.0,0.545,
Northwestern,2023,,,,91.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,69.0,,,,,,9.0,21.0,0.3,
Notre Dame,2023,ACC,,,29.0,95.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,70.0,9.0,4.0,11.0,18.0,18.0,27.0,6.0,0.818,
Ohio State,2023,Big Ten,,,23.0,95.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,71.0,14.0,2.0,12.0,18.0,18.0,28.0,8.0,0.778,
Oklahoma,2023,Big 12,,,96.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,75.0,15.0,13.0,14.0,16.0,16.0,26.0,7.0,0.788,
Oregon,2023,Pac 12,,,7.0,95.75,1.0,2.0,3.0,4.0,10.0,1.0,2.0,1.0,73.5,20.0,16.0,,11.0,11.0,20.0,15.0,0.571,
Oregon State,2023,,,,6.0,97.5,2.0,2.0,2.0,2.0,12.0,0.0,1.0,1.0,74.5,,,,,,13.0,18.0,0.419,
Penn State,2023,,,,56.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,67.0,,,,,,14.0,17.0,0.452,
Pittsburgh,2023,,,,98.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,10.0,20.0,0.333,
Princeton,2023,Ivy,,,43.0,94.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,73.0,24.0,,,1.0,1.0,24.0,6.0,0.8,
Purdue,2023,,,,87.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,76.0,,,,,,19.0,11.0,0.633,
Rutgers,2023,,,,64.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,71.0,,,,,,12.0,20.0,0.375,
South Carolina,2023,SEC,,,12.0,96.5,0.0,2.0,2.0,2.0,6.0,1.0,0.0,1.0,73.5,1.0,1.0,1.0,18.0,18.0,36.0,1.0,0.973,
South Dakota State,2023,Summit,,,,,,,,,,,,,,23.0,,,1.0,1.0,29.0,6.0,0.829,
South Florida,2023,AAC,,,,,,,,,,,,,,,24.0,,3.0,3.0,27.0,7.0,0.794,
St. John's (NY),2023,Big East,,,,,,,,,,,,,,,24.0,,3.0,3.0,23.0,9.0,0.719,
Stanford,2023,Pac 12,,,1.0,95.67,1.0,2.0,2.0,3.0,9.0,2.0,0.0,1.0,71.7,2.0,2.0,5.0,18.0,18.0,29.0,6.0,0.829,
Tennessee,2023,SEC,,,11.0,97.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,74.0,5.0,11.0,23.0,4.0,4.0,25.0,12.0,0.676,
Texas,2023,Big 12,,,34.0,93.67,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,73.7,3.0,3.0,15.0,11.0,11.0,26.0,10.0,0.722,
Texas A&M,2023,,,,3.0,95.0,1.0,1.0,2.0,3.0,7.0,1.0,2.0,0.0,72.0,,,,,,9.0,20.0,0.31,
Texas Tech,2023,,,,54.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,,,,,,20.0,15.0,0.571,
UCF,2023,,,,66.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,,,,,14.0,15.0,0.483,
UCLA,2023,Pac 12,,,2.0,95.75,1.0,3.0,4.0,4.0,13.0,2.0,1.0,1.0,70.8,,8.0,17.0,16.0,16.0,27.0,10.0,0.73,
UConn,2023,Big East,,,4.0,98.0,2.0,2.0,2.0,2.0,12.0,0.0,1.0,1.0,74.5,6.0,3.0,7.0,18.0,18.0,31.0,6.0,0.838,
UNC,2023,ACC,,,27.0,95.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,67.0,12.0,6.0,19.0,18.0,18.0,22.0,11.0,0.667,
UNLV,2023,MWC,,,,,,,,,,,,,,,22.0,21.0,4.0,4.0,31.0,3.0,0.912,
