Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
11,Hampton,CAA,10,20,0.333,,4,14,0.222,,57.4,65.5,,-15.56,-7.48,,,,,,
12,Northeastern,CAA,7,21,0.25,,3,15,0.167,,61.0,67.9,,-14.44,-7.54,,,,,,
13,UNC Wilmington,CAA,6,23,0.207,,2,16,0.111,,58.3,69.4,,-18.92,-7.74,,,,,,
1,Louisiana Tech,CUSA,24,5,0.828,,17,1,0.944,,72.3,62.0,,8.52,-1.78,,,,,,Reg. Season Champion
2,Florida International,CUSA,19,10,0.655,,12,6,0.667,,68.2,66.0,,-1.43,-3.61,,,,,,
3,Sam Houston,CUSA,18,11,0.621,,11,7,0.611,,63.4,61.0,,0.16,-2.27,,,,,,
4,Missouri State,CUSA,19,12,0.613,,11,7,0.611,,66.0,61.3,,3.38,-1.33,,,,,,
5,Liberty,CUSA,17,12,0.586,,11,7,0.611,,62.5,61.4,,0.8,-0.31,,,,,,
6,Middle Tennessee,CUSA,16,14,0.533,,11,7,0.611,,61.8,60.3,,0.36,-1.14,,,,,,
7,Jacksonville State,CUSA,15,15,0.5,,9,9,0.5,,60.2,61.1,,-6.03,-5.14,,,,,,
8,Kennesaw State,CUSA,13,16,0.448,,6,12,0.333,,60.0,64.1,,-7.16,-3.05,,,,,,
9,Delaware,CUSA,12,18,0.4,,6,12,0.333,,63.0,66.4,,-7.48,-4.07,,,,,,
10,UTEP,CUSA,13,16,0.448,,5,13,0.278,,63.8,70.9,,-10.7,-3.67,,,,,,
11,New Mexico State,CUSA,9,21,0.3,,5,13,0.278,,55.7,68.5,,-13.8,-1.06,,,,,,
12,Western Kentucky,CUSA,8,21,0.276,,4,14,0.222,,56.6,66.1,,-11.48,-1.98,,,,,,
1,Green Bay,Horizon,23,8,0.742,,17,3,0.85,,68.4,60.0,,5.85,-2.52,,,,,,Reg. Season Champion
2,Youngstown State,Horizon,23,8,0.742,,15,5,0.75,,65.7,60.0,,0.06,-5.7,,,,,,
3,Cleveland State,Horizon,24,8,0.75,,13,7,0.65,,70.0,61.6,,0.56,-7.81,,,,,,
4,Purdue Fort Wayne,Horizon,20,12,0.625,,12,8,0.6,,70.4,64.3,,2.63,-3.53,,,,,,
5,Northern Kentucky,Horizon,15,17,0.469,,12,8,0.6,,68.4,69.8,,-2.92,-1.55,,,,,,
6,Robert Morris,Horizon,18,12,0.6,,11,9,0.55,,63.0,62.1,,-5.81,-6.7,,,,,,
7,IU Indy,Horizon,14,17,0.452,,9,11,0.45,,64.9,70.1,,-8.61,-3.36,,,,,,
8,Oakland,Horizon,10,21,0.323,,7,13,0.35,,62.8,72.5,,-9.86,-0.12,,,,,,
9,Wright State,Horizon,10,22,0.313,,6,14,0.3,,62.7,71.1,,-13.51,-5.14,,,,,,
10,Milwaukee,Horizon,8,24,0.25,,4,16,0.2,,59.7,69.9,,-14.7,-4.53,,,,,,
11,Detroit Mercy,Horizon,7,24,0.226,,4,16,0.2,,62.2,72.7,,-14.16,-3.72,,,,,,
1,Princeton,Ivy,24,3,0.889,,12,2,0.857,,73.1,60.6,,16.0,3.45,,,19.0,,,
2,Columbia,Ivy,20,7,0.741,,11,3,0.786,,71.1,59.4,,13.19,1.48,,,,,,
3,Harvard,Ivy,17,10,0.63,,10,4,0.714,,65.7,56.9,,10.9,2.09,,,,,,
4,Brown,Ivy,16,10,0.615,,8,6,0.571,,61.2,57.8,,0.0,-3.4,,,,,,
5,Pennsylvania,Ivy,17,10,0.63,,7,7,0.5,,62.4,59.5,,2.28,-0.64,,,,,,
6,Cornell,Ivy,9,18,0.333,,4,10,0.286,,52.4,63.1,,-14.08,-3.38,,,,,,
