season,team,conference,preseason_rank,best_rank,worst_rank,avg_rank_when_ranked,final_rank,weeks_in_top25,peak_streak,first_ranked_week,last_ranked_week
2025,Oklahoma,SEC,10.0,8.0,16.0,11.47,11.0,21,21,Pre,Post
2025,Oklahoma State,Big 12,,17.0,25.0,21.44,24.0,10,10,1/13,Post
2025,Ole Miss,SEC,20.0,17.0,25.0,21.9,17.0,12,12,Pre,Post
2025,Oregon,Big Ten,,21.0,25.0,23.0,,3,3,11/11,11/25
2025,South Carolina,SEC,1.0,1.0,6.0,2.79,2.0,21,21,Pre,Post
2025,South Dakota State,Summit,,24.0,25.0,24.33,23.0,4,4,3/3,Post
2025,Stanford,ACC,,24.0,24.0,24.0,,1,1,11/11,11/11
2025,TCU,Big 12,,6.0,19.0,10.56,6.0,19,19,11/18,Post
2025,Tennessee,SEC,,11.0,20.0,16.73,15.0,16,16,12/9,Post
2025,Texas,SEC,4.0,1.0,7.0,4.42,4.0,21,21,Pre,Post
2025,UCLA,Big Ten,5.0,1.0,5.0,1.74,3.0,21,21,Pre,Post
2025,UConn,Big East,2.0,2.0,7.0,4.42,1.0,21,21,Pre,Post
2025,UNC,ACC,15.0,8.0,19.0,14.21,14.0,21,21,Pre,Post
2025,USC,Big Ten,3.0,2.0,7.0,4.47,5.0,21,21,Pre,Post
2025,Utah,Big 12,,22.0,23.0,22.5,,2,2,1/6,1/13
2025,Vanderbilt,SEC,,23.0,24.0,23.5,,2,2,1/27,2/3
2025,West Virginia,Big 12,16.0,12.0,21.0,16.47,21.0,21,21,Pre,Post
2026,Alabama,SEC,26.0,21.0,25.0,23.0,,7,7,1/12,2/23
2026,Baylor,Big 12,16.0,7.0,22.0,14.69,,17,17,Pre,3/2
2026,Duke,ACC,7.0,9.0,21.0,14.75,,9,7,Pre,3/2
2026,Fairfield,MAAC,26.0,25.0,25.0,25.0,,1,1,3/2,3/2
2026,Georgia,SEC,26.0,22.0,24.0,23.0,,4,3,1/26,3/2
2026,Illinois,Big Ten,26.0,25.0,25.0,25.0,,1,1,1/12,1/12
2026,Iowa,Big Ten,21.0,8.0,21.0,12.38,,17,17,Pre,3/2
2026,Iowa State,Big 12,14.0,10.0,19.0,12.0,,10,10,Pre,1/12
2026,Kentucky,SEC,24.0,6.0,23.0,14.94,,17,17,Pre,3/2
2026,LSU,SEC,5.0,5.0,12.0,5.94,,17,17,Pre,3/2
2026,Louisville,ACC,20.0,6.0,23.0,13.62,,17,17,Pre,3/2
2026,Maryland,Big Ten,10.0,7.0,22.0,11.75,,17,17,Pre,3/2
2026,Michigan,Big Ten,13.0,6.0,14.0,7.5,,17,17,Pre,3/2
2026,Michigan State,Big Ten,23.0,12.0,25.0,18.19,,17,17,Pre,3/2
2026,Minnesota,Big Ten,26.0,19.0,23.0,21.33,,3,3,2/16,3/2
2026,NC State,ACC,9.0,10.0,25.0,17.0,,4,4,Pre,11/24
2026,Nebraska,Big Ten,26.0,20.0,25.0,23.33,,6,6,12/8,1/19
2026,Notre Dame,ACC,15.0,18.0,24.0,19.88,,9,8,Pre,1/12
2026,Ohio State,Big Ten,26.0,8.0,23.0,14.69,,13,13,12/1,3/2
2026,Oklahoma,SEC,6.0,5.0,16.0,9.19,,17,17,Pre,3/2
2026,Oklahoma State,Big 12,22.0,18.0,24.0,21.8,,6,6,Pre,12/8
2026,Ole Miss,SEC,12.0,13.0,24.0,15.88,,17,17,Pre,3/2
2026,Princeton,Ivy,26.0,19.0,25.0,23.0,,10,8,12/15,3/2
2026,Richmond,A10,24.0,,,,,1,1,Pre,Pre
2026,South Carolina,SEC,2.0,2.0,3.0,2.69,,17,17,Pre,3/2
2026,TCU,Big 12,17.0,8.0,17.0,11.0,,17,17,Pre,3/2
2026,Tennessee,SEC,8.0,12.0,23.0,18.0,,15,15,Pre,2/16
2026,Texas,SEC,4.0,2.0,4.0,3.38,,17,17,Pre,3/2
2026,Texas Tech,Big 12,26.0,16.0,21.0,19.0,,10,10,12/22,3/2
2026,UCLA,Big Ten,3.0,2.0,4.0,2.94,,17,17,Pre,3/2
2026,UConn,Big East,1.0,1.0,1.0,1.0,,17,17,Pre,3/2
2026,UNC,ACC,11.0,11.0,25.0,17.0,,14,9,Pre,3/2
2026,USC,Big Ten,18.0,8.0,21.0,15.75,,9,9,Pre,1/5
2026,Vanderbilt,SEC,19.0,5.0,19.0,9.75,,17,17,Pre,3/2
2026,Washington,Big Ten,26.0,20.0,25.0,23.36,,11,6,11/10,2/9
2026,West Virginia,Big 12,26.0,15.0,25.0,20.3,,10,7,11/17,3/2
