date,team,conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,DivIWL,ConfRecord,Non-ConfRecord,RoadWL,NETSOS,NetNonConfSOS,WABRk,WAB,NCWABRk,NCWAB,Last10Games,Q1,Q2,Q3,Q4
2026-02-03,New Haven,NEC,347,347,362,283,5-14,5-4,0-10,1-7,358,338,316,-13.23,353,-9.34,5-5,0-0,0-1,0-0,5-13
2026-02-03,Western Caro.,SoCon,348,348,286,215,0-18,0-7,0-11,0-8,210,143,351,-15.57,352,-8.71,0-10,0-1,0-2,0-1,0-14
2026-02-03,Bethune-Cookman,SWAC,349,349,296,218,1-18,1-8,0-10,0-11,157,59,340,-14.94,330,-7.03,1-9,0-2,0-2,0-1,1-13
2026-02-03,UMass Lowell,America East,350,350,289,216,3-16,0-9,3-7,2-10,343,352,339,-14.86,318,-6.59,0-10,0-0,0-0,0-2,3-14
2026-02-03,Morgan St.,MEAC,351,351,179,185,2-19,2-5,0-14,1-13,126,77,342,-14.96,361,-10.12,2-8,0-3,0-1,0-2,2-13
2026-02-03,USC Upstate,Big South,352,352,339,236,3-17,1-8,2-9,1-10,192,106,328,-14.12,309,-6.31,1-9,0-3,0-0,0-1,3-13
2026-02-03,Mississippi Val.,SWAC,353,353,262,207,4-15,3-5,1-10,1-11,122,47,285,-11.29,311,-6.37,3-7,0-3,0-2,0-0,4-10
2026-02-03,South Carolina St.,MEAC,354,354,333,232,3-15,2-3,1-12,2-8,237,217,311,-12.88,360,-9.95,3-7,0-1,0-1,0-2,3-11
2026-02-03,Prairie View,SWAC,355,355,284,214,0-18,0-9,0-9,0-13,174,65,348,-15.29,312,-6.39,0-10,0-2,0-0,0-1,0-15
2026-02-03,Saint Francis,NEC,356,356,358,267,2-18,2-8,0-10,1-10,363,354,360,-17.55,355,-9.63,2-8,0-0,0-0,0-0,2-18
2026-02-03,Le Moyne,NEC,357,357,342,241,4-18,3-7,1-11,3-11,221,121,346,-15.2,349,-8.28,3-7,0-2,0-2,0-1,4-13
2026-02-03,Valparaiso,MVC,358,358,270,210,0-22,0-11,0-11,0-12,315,278,363,-20.18,356,-9.66,0-10,0-1,0-0,0-1,0-20
2026-02-03,Bellarmine,ASUN,359,359,156,176,1-21,0-10,1-11,1-11,113,42,357,-16.52,328,-6.96,0-10,0-4,0-0,0-2,1-15
2026-02-03,Omaha,Summit League,360,360,101,158,0-22,0-9,0-13,0-12,112,146,359,-17.51,363,-10.33,0-10,0-2,0-4,0-2,0-14
2026-02-03,Central Conn. St.,NEC,361,361,355,256,0-21,0-10,0-11,0-12,325,261,362,-19.38,354,-9.51,0-10,0-1,0-0,0-2,0-18
2026-02-03,Presbyterian,Big South,362,362,310,224,1-19,1-8,0-11,1-10,322,295,358,-17.44,358,-9.81,1-9,0-1,0-0,0-3,1-15
2026-02-03,Niagara,MAAC,363,363,328,230,0-21,0-12,0-9,0-12,227,153,361,-18.4,335,-7.21,0-10,0-2,0-1,0-1,0-17
